"Gene","Module","p","p.adj","coef","AUC"
"ECHDC1","unassigned",0.337568377206392,0.582769509941756,0.553321721312662,0.557359307359307
"AAMDC","unassigned",0.584306221225511,0.775551478169857,0.426443521238792,0.557359307359307
"PODNL1","unassigned",0.459487437168633,0.684450954551776,-0.588040327616977,0.557359307359307
"EMC6","M38",0.202564353170079,0.442150251320034,-1.58203197018318,0.557359307359307
"ANKRD27","unassigned",0.45141003221289,0.678279365368414,0.692298360473949,0.557359307359307
"WDR4","M29",0.400524096458646,0.638864568826493,-0.750463526184558,0.557359307359307
"FAM122B","unassigned",0.412364046339048,0.64925666515184,0.806839951075146,0.557359307359307
"CMTR2","M15",0.611055593767755,0.793385122167576,0.33222268545298,0.557359307359307
"VTA1","M20",0.869656650403236,0.939970324368991,0.191622772020263,0.557359307359307
"DNAJC30","unassigned",0.278501909094504,0.524218194690919,2.30602592118267,0.557359307359307
"ANKRD39","unassigned",0.228035725020534,0.472487301478372,-1.3579179602855,0.557359307359307
"BIRC6","unassigned",0.690626287481996,0.843646272682688,0.344632119026987,0.557359307359307
"COMMD7","unassigned",0.375434287087481,0.617366835209076,1.41561167185875,0.557359307359307
"TMEM205","unassigned",0.448373831024735,0.675721290522131,-0.77369159611665,0.557359307359307
"FBXO45","unassigned",0.675780113434043,0.834396906366148,0.352377065662356,0.557359307359307
"FBRSL1","unassigned",0.162950968598708,0.3946198283432,2.27877021312176,0.557359307359307
"KIF21A","unassigned",0.468498969170078,0.691088730198878,0.515184981739873,0.557359307359307
"KCTD1","unassigned",0.34868525078058,0.592546631201416,-0.792161827687643,0.557359307359307
"ABRAXAS1","M14",0.491731525881595,0.709802232123542,-0.536863220709345,0.557359307359307
"MTX3","unassigned",0.234789794598652,0.479860795119828,-1.67635257278993,0.557359307359307
"CHTF18","M34",0.555968261039345,0.755231434311069,0.622304917043265,0.557359307359307
"C12orf73","unassigned",0.331161897842697,0.575690262065405,0.979152529409,0.557359307359307
"VSTM2L","unassigned",0.391043356788745,0.631490858206383,0.934742727982802,0.557359307359307
"IGIP","unassigned",0.387398252740471,0.628353165423043,-0.837109656794722,0.557359307359307
"CCDC146","unassigned",0.298026409377619,0.544190549466052,0.835728682499231,0.557359307359307
"GATD1","M35",0.366935044740067,0.609710682306836,0.995829282391536,0.557359307359307
"ZNF565","unassigned",0.184168674640252,0.42080708895522,-0.990041054848008,0.557359307359307
"CPNE8","unassigned",0.418936660616135,0.653391644504827,0.221963793060644,0.557359307359307
"PUSL1","unassigned",0.5266766632602,0.734722715016475,0.677470315417907,0.557359307359307
"UBR3","unassigned",0.616093546474239,0.795817079781189,0.631893967676625,0.557359307359307
"DUOXA2","unassigned",0.562656521020914,0.759929247283493,-0.121419212804215,0.557359307359307
